"","Name","year","consecutive_days_season","count_above_5_season","consecutive_days_early","count_above_5_early","sum_prc_year","sum_prc_season","sum_prc_early","days_prc_year","zero_days_year","days_prc_season","zero_days_season","days_prc_early","zero_days_early","monthly_prc_year","monthly_prc_season","monthly_prc_early","mean_temp_season_Max_temp","mean_temp_season_Mean_temp","mean_temp_season_Min_temp","mean_temp_early_Max_temp","mean_temp_early_Mean_temp","mean_temp_early_Min_temp"
"1","Hoydalsmoan",2019,6,1,5,0,1639,772.5,358.9,231,134,103,50,63,29,136.583333333333,154.5,119.633333333333,16.7169934640523,12.0375,8.22156862745098,16.6891304347826,11.9413043478261,7.93695652173913
"2","Hoydalsmoan",2020,19,1,19,1,1826.6,694.4,315.6,260,106,106,47,61,31,152.216666666667,138.88,105.2,16.7130718954248,12.0111111111111,7.84117647058823,16.7358695652174,11.9478260869565,7.48478260869565
"3","Hoydalsmoan",2021,12,3,12,2,2024.6,665.9,232.7,250,115,85,68,49,43,168.716666666667,133.18,77.5666666666667,17.0751633986928,12.4152317880795,8.19542483660131,17.85,12.754347826087,8.08478260869565
"4","Hoydalsmoan",2022,11,1,5,0,1984.3,801.4,538.5,253,112,104,49,69,23,165.358333333333,160.28,179.5,16.4601307189542,11.756862745098,7.95882352941176,16.1184782608696,11.5804347826087,7.81413043478261
"5","Hoydalsmoan",2023,10,2,10,2,1470.5,593.7,271,194,99,94,59,51,41,NA,118.74,90.3333333333333,17.4398692810458,12.6388157894737,8.67828947368421,17.0684782608696,12.1086956521739,7.8554347826087
"6","Vestersetermyra",2019,10,2,7,1,1518,698.5,289.74,227,138,103,50,63,29,126.5,139.7,96.58,15.9640522875817,11.521568627451,8.04901960784314,15.8315217391304,11.3282608695652,7.79782608695652
"7","Vestersetermyra",2020,14,1,14,1,1646.15,520.85,260.15,261,105,104,49,59,33,137.179166666667,104.17,86.7166666666667,16.018954248366,11.4738562091503,7.57647058823529,15.979347826087,11.3739130434783,7.2054347826087
"8","Vestersetermyra",2021,12,2,12,2,1605.78,452.76,163.57,239,126,88,65,47,45,133.815,90.552,54.5233333333333,16.5605263157895,12.0926666666667,7.9718954248366,17.5857142857143,12.7144444444444,8.10434782608696
"9","Vestersetermyra",2022,14,2,5,0,1542.86,507.21,341.66,217,148,84,69,61,31,128.571666666667,101.442,113.886666666667,16.0039215686275,11.4457516339869,7.92745098039216,15.7913043478261,11.2652173913043,7.62826086956522
"10","Vestersetermyra",2023,11,2,11,2,1151.15,474.65,240.68,165,127,82,71,44,48,NA,94.93,80.2266666666667,17.1385620915033,12.2754966887417,8.54901960784314,16.9576086956522,11.8326086956522,7.60978260869565
